#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
   97    96     0     1  1.35710e+00  0.00000e+00  4.58459e-03    63, 96
   97    96     0     1  1.35852e+00  0.00000e+00  4.65759e-03    63, 96
   97    96     0     1  1.36376e+00  0.00000e+00  4.49647e-03    61, 96
   97    96     0     1  1.36960e+00  0.00000e+00  4.49989e-03    63, 96
   97    96     0     1  1.37145e+00  0.00000e+00  4.43452e-03    61, 96
   97    96     0     1  1.35674e+00  0.00000e+00  4.49581e-03    63, 96
   97    96     0     1  1.37067e+00  0.00000e+00  4.41270e-03    63, 96
   97    96     0     1  1.36868e+00  0.00000e+00  4.27484e-03    61, 96
   97    96     0     1  1.36746e+00  0.00000e+00  4.37617e-03    63, 96
   97    96     0     1  1.36786e+00  0.00000e+00  4.21371e-03    63, 96
   97    96     0     1  1.36841e+00  0.00000e+00  4.22172e-03    63, 96
   97    96     0     1  1.36896e+00  0.00000e+00  4.27641e-03    63, 96
   97    96     0     1  1.36281e+00  0.00000e+00  4.12954e-03    61, 96
   97    96     0     1  1.37146e+00  0.00000e+00  4.10324e-03    63, 96
   97    96     0     1  1.36492e+00  0.00000e+00  4.01930e-03    61, 96
   97    96     0     1  1.36060e+00  0.00000e+00  4.12877e-03    63, 96
   97    96     0     1  1.36071e+00  0.00000e+00  4.01604e-03    63, 96
   97    96     0     1  1.35798e+00  0.00000e+00  3.87473e-03    61, 96
   97    96     0     1  1.37131e+00  0.00000e+00  3.86746e-03    63, 96
   97    96     0     1  1.35774e+00  0.00000e+00  3.87320e-03    63, 96
   97    96     0     1  1.36670e+00  0.00000e+00  4.02828e-03    63, 96
   97    96     0     1  1.37171e+00  0.00000e+00  3.98582e-03    63, 96
   97    96     0     1  1.36723e+00  0.00000e+00  3.85926e-03    63, 96
   97    96     0     1  1.37362e+00  0.00000e+00  3.78942e-03    63, 96
   97    96     0     1  1.36402e+00  0.00000e+00  3.80056e-03    63, 96
   97    96     0     1  1.36913e+00  0.00000e+00  3.59622e-03    61, 96
   97    96     0     1  1.36073e+00  0.00000e+00  3.84692e-03    63, 96
   97    96     0     1  1.36043e+00  0.00000e+00  3.74305e-03    61, 96
   97    96     0     1  1.35650e+00  0.00000e+00  3.69480e-03    63, 96
   97    96     0     1  1.36605e+00  0.00000e+00  3.70374e-03    63, 96
   97    96     0     1  1.37536e+00  0.00000e+00  3.68272e-03    63, 96
   97    96     0     1  1.36008e+00  0.00000e+00  3.75492e-03    63, 96
   97    96     0     1  1.35736e+00  0.00000e+00  3.81894e-03    63, 96
   97    96     0     1  1.36524e+00  0.00000e+00  3.75571e-03    63, 96
