# i si j sj a b distance p sign Re(class) Im(class) Re(target) Im(target) Re(sign_class) Im(sign_class) residual
0 0 37 1 0 101 27 59 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 38 1 0 102 26 58 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 39 1 0 103 25 57 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 40 1 0 104 24 56 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 41 1 0 105 23 55 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 42 1 0 106 22 54 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 43 1 0 107 21 53 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 44 1 0 108 20 52 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 45 1 0 109 19 51 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 46 1 0 110 18 50 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 47 1 0 111 17 49 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 48 1 0 112 16 48 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 49 1 0 113 15 47 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 50 1 0 114 14 46 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 51 1 0 115 13 45 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 52 1 0 116 12 44 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 53 1 0 117 11 43 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 54 1 0 118 10 42 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 55 1 0 119 9 41 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 56 1 0 120 8 40 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 57 1 0 121 7 39 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 58 1 0 122 6 38 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 59 1 0 123 5 37 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 60 1 0 124 4 36 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 61 1 0 125 3 35 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 62 1 0 126 2 34 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 63 1 0 127 1 33 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
1 0 2 0 1 2 1 0 1 1.5483719497275521 0 1.5483719497275521 0 1.5483719497275521 0 0
1 0 3 0 1 3 2 1 1 -0.62106902470630421 0 -0.62106902470630421 0 -0.62106902470630421 0 0
1 0 4 0 1 4 3 2 1 1.4591568302030655 0 1.4591568302030655 0 1.4591568302030655 0 0
1 0 5 0 1 5 4 3 1 -0.65922634871850916 0 -0.65922634871850916 0 -0.65922634871850916 0 0
1 0 6 0 1 6 5 4 1 1.4380193841453996 0 1.4380193841453996 0 1.4380193841453996 0 0
1 0 7 0 1 7 6 5 1 -0.67262681213945552 0 -0.67262681213945552 0 -0.67262681213945552 0 0
1 0 8 0 1 8 7 6 1 1.4287857099143846 0 1.4287857099143846 0 1.4287857099143846 0 0
1 0 9 0 1 9 8 7 1 -0.67935965176948165 0 -0.67935965176948165 0 -0.67935965176948165 0 0
1 0 10 0 1 10 9 8 1 1.423671853971749 0 1.423671853971749 0 1.423671853971749 0 0
1 0 11 0 1 11 10 9 1 -0.68336495168385192 0 -0.68336495168385192 0 -0.68336495168385192 0 0
1 0 12 0 1 12 11 10 1 1.4204592435907357 0 1.4204592435907357 0 1.4204592435907357 0 0
1 0 13 0 1 13 12 11 1 -0.68599076312992613 0 -0.68599076312992613 0 -0.68599076312992613 0 0
1 0 14 0 1 14 13 12 1 1.418280333004784 0 1.418280333004784 0 1.418280333004784 0 0
1 0 15 0 1 15 14 13 1 -0.68782111261705625 0 -0.68782111261705625 0 -0.68782111261705625 0 0
1 0 16 0 1 16 15 14 1 1.4167274407073669 0 1.4167274407073669 0 1.4167274407073669 0 0
1 0 17 0 1 17 16 15 1 -0.68914919296560939 0 -0.68914919296560939 0 -0.68914919296560939 0 0
1 0 18 0 1 18 17 16 1 1.415584401425233 0 1.415584401425233 0 1.415584401425233 0 0
1 0 19 0 1 19 18 17 1 -0.6901377561362213 0 -0.6901377561362213 0 -0.6901377561362213 0 0
1 0 20 0 1 20 19 18 1 1.4147264780329518 0 1.4147264780329518 0 1.4147264780329518 0 0
1 0 21 0 1 21 20 19 1 -0.69088386103115262 0 -0.69088386103115262 0 -0.69088386103115262 0 0
1 0 22 0 1 22 21 20 1 1.4140771750058097 0 1.4140771750058097 0 1.4140771750058097 0 0
1 0 23 0 1 23 22 21 1 -0.69144844497275415 0 -0.69144844497275415 0 -0.69144844497275415 0 0
1 0 24 0 1 24 23 22 1 1.4135875246411542 0 1.4135875246411542 0 1.4135875246411542 0 0
1 0 25 0 1 25 24 23 1 -0.69187112178069776 0 -0.69187112178069776 0 -0.69187112178069776 0 0
1 0 26 0 1 26 25 24 1 1.4132253331583424 0 1.4132253331583424 0 1.4132253331583424 0 0
1 0 27 0 1 27 26 25 1 -0.69217811196996715 0 -0.69217811196996715 0 -0.69217811196996715 0 0
